start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail
2025-12-22T12:56:19.805,2025-12-22T12:56:20.377,0.571949,SHOW,975,580,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:21.275,1.470873,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:21.859,2.054160,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:22.115,2.310675,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:22.320,2.514902,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:22.497,2.691963,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:22.655,2.850160,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:22.827,3.021899,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:23.096,3.291373,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:23.442,3.636937,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:23.617,3.812159,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:23.772,3.967177,SHOW,976,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:23.921,4.116609,SHOW,977,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:24.066,4.260725,SHOW,977,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:24.215,4.410084,SHOW,977,578,200,200,1,TOUCH_TTL,0,
2025-12-22T12:56:19.805,2025-12-22T12:56:24.704,4.898955,SHOW,1175,494,200,200,0,TOUCH_OUTSIDE,1,5
2025-12-22T12:56:19.805,2025-12-22T12:56:24.854,5.049674,SHOW,1175,494,200,200,0,TOUCH_OUTSIDE,2,5
2025-12-22T12:56:19.805,2025-12-22T12:56:24.993,5.188565,SHOW,1176,493,200,200,0,TOUCH_OUTSIDE,3,5
2025-12-22T12:56:19.805,2025-12-22T12:56:25.135,5.331231,SHOW,1176,492,200,200,0,TOUCH_OUTSIDE,4,5
2025-12-22T12:56:19.805,2025-12-22T12:56:25.301,5.496872,SHOW,1175,492,200,200,0,TOUCH_OUTSIDE,5,5
2025-12-22T12:56:19.805,2025-12-22T12:56:25.301,5.496952,SHOW,1175,492,200,200,1,FAIL_OUTSIDE_LIMIT,5,
2025-12-22T12:56:19.805,2025-12-22T12:56:25.864,6.059502,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,1,5
2025-12-22T12:56:19.805,2025-12-22T12:56:26.021,6.215851,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,2,5
2025-12-22T12:56:19.805,2025-12-22T12:56:26.167,6.362193,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,3,5
2025-12-22T12:56:19.805,2025-12-22T12:56:26.442,6.636793,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,4,5
2025-12-22T12:56:19.805,2025-12-22T12:56:26.602,6.796921,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,5,5
2025-12-22T12:56:19.805,2025-12-22T12:56:26.602,6.797064,SHOW,1175,491,200,200,1,FAIL_OUTSIDE_LIMIT,5,
2025-12-22T12:56:19.805,2025-12-22T12:56:27.141,7.335976,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,1,5
2025-12-22T12:56:19.805,2025-12-22T12:56:27.318,7.513894,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,2,5
2025-12-22T12:56:19.805,2025-12-22T12:56:27.499,7.694256,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,3,5
2025-12-22T12:56:19.805,2025-12-22T12:56:27.664,7.859267,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,4,5
2025-12-22T12:56:19.805,2025-12-22T12:56:27.839,8.033879,SHOW,1175,491,200,200,0,TOUCH_OUTSIDE,5,5
2025-12-22T12:56:19.805,2025-12-22T12:56:27.839,8.033959,SHOW,1175,491,200,200,1,FAIL_OUTSIDE_LIMIT,5,
