start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail
2025-12-22T09:50:21.367,2025-12-22T09:50:22.365,0.998091,SHOW,981,544,200,200,3874,TOUCH_TTL_FAIL,0,
2025-12-22T09:50:21.367,2025-12-22T09:50:26.830,5.462416,SHOW,505,415,200,200,0,TOUCH_OUTSIDE,1,5
2025-12-22T09:50:21.367,2025-12-22T09:50:27.270,5.903208,SHOW,505,415,200,200,0,TOUCH_OUTSIDE,2,5
2025-12-22T09:50:21.367,2025-12-22T09:50:27.555,6.187413,SHOW,505,415,200,200,0,TOUCH_OUTSIDE,3,5
2025-12-22T09:50:21.367,2025-12-22T09:50:27.847,6.479503,SHOW,505,415,200,200,0,TOUCH_OUTSIDE,4,5
2025-12-22T09:50:21.367,2025-12-22T09:50:28.125,6.757536,SHOW,505,415,200,200,0,TOUCH_OUTSIDE,5,5
2025-12-22T09:50:21.367,2025-12-22T09:50:28.125,6.757621,SHOW,505,415,200,200,2934,FAIL_OUTSIDE_LIMIT,5,
